"","CBO.Ocupação.2002","Vínculo.Ativo.31.12","Escolaridade.após.2005","Qtd.Hora.Contr","Idade","Vl.Remun.Média.Nom","Sexo.Trabalhador","Tempo.Emprego"
"1601966",212410,1,7,44,50,10759.56,1,11.9
"1601968",212410,1,7,44,51,5127.16,1,11.9
"1601969",212410,1,7,44,50,4920.95,1,11.9
"1601971",212410,1,7,44,37,9788.02,1,11.9
"1601977",212410,1,7,44,40,5731.02,1,11.9
"1601996",212410,1,7,44,51,5350.1,1,11.9
"1601997",212410,1,7,44,45,4226.4,1,11.9
"1602000",212410,1,7,44,43,4793.07,1,11.9
"1602002",212410,1,7,44,47,5724.64,1,11.9
"1602766",212420,1,7,44,28,2717.1,1,9.9
"1604449",212420,1,7,44,31,2797.7,1,83.6
"1605555",212420,1,7,44,35,2105.56,1,21.9
"1605823",212415,1,7,44,33,2630.23,1,24.4
"1606111",212420,1,7,44,25,6537.63,1,39.9
"1607742",212420,1,7,44,28,5744.4,1,98.5
"1608161",212420,1,7,44,31,1526.19,1,6.9
"1608362",212410,1,7,44,34,4680,1,191.9
"1608482",212420,1,7,44,51,2294.04,1,19.8
"1608483",212420,1,7,44,42,3075.37,1,140.4
"1609428",212410,1,7,44,37,13180.33,1,11.9
"1609551",212410,1,7,44,36,4884.19,1,11.9
"1609939",212410,1,7,44,37,8054.64,1,248.6
"1610218",212420,1,7,44,25,4182.52,1,18.9
"1611341",212410,1,7,44,30,6123.93,1,11.9
"1612621",212415,1,7,44,35,5036.21,1,20.2
"1615036",212420,1,7,44,40,4237.1,1,85.9
"1615147",212420,1,7,44,35,3343.33,1,10.9
"1615515",212420,1,7,44,32,3373.75,1,96.9
"1615849",212420,1,7,44,28,2232.8,1,8.9
"1616717",212420,1,7,44,21,2585.08,1,24.7
"1617953",212420,1,7,44,36,7204.23,1,39.9
"1617955",212420,1,7,44,34,3756.55,1,39.9
"1618370",212420,1,7,44,44,1452.93,1,26.9
"1618413",212410,1,7,44,34,3033.52,1,29
"1618816",212410,1,7,44,31,1958.53,1,35
"1619099",212420,1,7,44,32,3189.96,1,27.9
"1619829",212415,1,7,44,45,11061.27,1,154.4
"1620031",212420,1,7,44,23,1621.21,1,38.1
"1620108",212420,1,7,44,29,1722.38,1,40.9
"1620174",212420,1,7,44,24,2232.39,1,54.1
"1620234",212420,1,7,44,24,2629.22,1,72.9
"1620918",212420,1,7,44,34,1991.64,1,46.5
"1621450",212410,1,7,44,27,1837.18,1,19.9
"1621587",212420,1,7,42,22,1812.24,1,27.9
"1621871",212420,1,7,44,24,1354.77,1,20.9
"1621872",212420,1,7,44,23,1334.62,1,7.9
"1625369",212420,1,7,44,27,1964.6,1,0.6
"1625623",212420,1,7,44,38,2730.11,1,34.3
"1627244",212420,1,7,44,19,1473.55,1,21.2
"1627569",212420,1,7,44,28,1344,1,12.6
"1627570",212420,1,7,44,26,1350,1,9.9
"1627878",212420,1,7,42,24,1558.42,1,17.5
"1627968",212415,1,7,44,25,3698.15,1,38.9
"1628120",212415,1,7,44,39,6387.28,1,11.1
"1628228",212420,1,7,42,21,1385.47,1,3.5
"1629685",212420,1,7,44,32,2354.13,1,78.8
"1630222",212420,1,7,44,44,1824.74,1,45.8
"1630282",212420,1,7,44,28,1800,1,6.9
"1633071",212420,1,7,44,42,2650.82,1,123.9
"1635321",212415,1,7,44,23,2341.36,1,19.1
"1635322",212415,1,7,44,22,2042,1,4.5
"1635610",212420,1,7,44,30,3081.54,1,7.4
"1636005",212420,1,7,44,35,2630.98,1,10.9
"1636214",212420,1,7,44,44,1775.15,1,22.9
"1636215",212420,1,7,44,43,2865.38,1,23.3
"1636216",212420,1,7,44,37,2685,1,62.6
